_id,NEIGHBORHOOD,BLACKdeaths,Black MD AGE AT DEATH,WHITEdeaths,White MD AGE AT DEATH,TOTALdeaths*,TOTAL MD AGE AT DEATH
1,SOUTH SHORE,0,0,0,0,0,0
2,CHATEAU,0,0,2,,2,
3,NORTH SHORE,0,0,4,,5,80
4,ALLEGHENY WEST,3,,4,,8,65
5,SAINT CLAIR,5,67.5,5,67.5,10,67.5
6,WEST END,5,76.7,9,78,14,77.5
7,ESPLEN,3,,13,72.5,16,71.7
8,ARLINGTON HEIGHTS,10,55,7,72.5,17,63.7
9,STRIP DISTRICT,7,76.7,12,70,19,72.5
10,FAIRYWOOD,11,62.5,9,42.5,21,53.3
11,HAYS,1,,23,78.9,24,78.3
12,MOUNT OLIVER NEIGHBORHOOD,9,67.5,17,80,26,75
13,EAST CARNEGIE,9,72.5,18,81,27,80
14,REGENT SQUARE,1,,27,75.8,28,76.7
15,CALIFORNIA-KIRKBRIDE,16,70,10,70,30,69.3
16,CHARTIERS CITY,20,70,15,81.2,35,76.9
17,FRIENDSHIP,15,66.2,24,73,41,71.1
18,BLUFF,18,71.7,24,69,42,70
19,ALLEGHENY CENTER,21,63.3,23,86.2,46,81.7
20,BON AIR,3,,48,78.3,51,78.5
21,CENTRAL OAKLAND,2,,50,84,52,84
22,RIDGEMONT,0,0,52,79.3,52,79.3
23,NORTHVIEW HEIGHTS,51,69.5,1,,54,68
24,FINEVIEW,19,73.3,38,70,58,70.8
25,SUMMER HILL,8,75,56,79,64,78.3
26,HOMEWOOD WEST,63,80.9,1,,66,80.3
27,SPRING GARDEN,4,,61,73.5,67,71.8
28,SWISSHELM PARK,0,0,67,83.1,67,83.1
29,NEW HOMESTEAD,4,,67,83.8,71,83.4
30,OAKWOOD,3,,78,78.7,82,78.8
31,POLISH HILL,9,67.5,76,72.8,85,72.2
32,POINT BREEZE NORTH,67,74.6,18,71,87,73.2
33,BEDFORD DWELLINGS,82,71.3,5,70,88,71.4
34,WEST OAKLAND,59,73.8,32,87,93,79.5
35,ARLINGTON,14,55,81,76.1,96,73.7
36,TERRACE VILLAGE,94,71.8,3,,99,71.2
37,SOUTH OAKLAND,37,75.7,63,77.5,103,77.1
38,WINDGAP,24,71.2,80,80.4,104,77.5
39,MANCHESTER,97,67.2,15,70,113,67.4
40,UPPER LAWRENCEVILLE,8,48.3,111,75.5,119,73.7
41,ELLIOTT,28,67,91,73.7,121,72
42,BELTZHOOVER,105,76.1,13,76,125,76.6
43,ALLENTOWN,41,55.6,82,72.1,126,66.5
44,GLEN HAZEL,60,80.7,69,78.7,131,79.8
45,CENTRAL BUSINESS DISTRICT,33,64.5,92,77,133,73.9
46,DUQUESNE HEIGHTS,3,,131,79.3,134,79.2
47,LOWER LAWRENCEVILLE,20,60,118,75.7,138,73.9
48,CENTRAL NORTHSIDE,90,72,54,73.3,147,71.7
49,TROY HILL/HERR'S ISLAND,15,42.5,134,73.8,151,70.3
50,EAST ALLEGHENY,51,62.7,100,70,157,66.2
51,MORNINGSIDE,10,70,150,78.2,161,77.8
52,WESTWOOD,12,58.3,159,77.8,173,77
53,LARIMER,123,77.3,45,70,174,75.3
54,POINT BREEZE,13,66.7,158,85.7,175,85.1
55,EAST HILLS,171,71.7,4,,177,70.9
56,MIDDLE HILL,174,73.1,6,61.7,183,72.4
57,HOMEWOOD NORTH,175,75.3,4,,185,75.1
58,CRAFTON HEIGHTS,27,51.2,159,76,187,73.5
59,KNOXVILLE,61,61.8,121,75.6,188,71.7
60,SPRING HILL-CITYVIEW,34,69.3,153,79.2,189,77.8
61,UPPER HILL,102,77.4,88,88.4,191,81.7
62,GARFIELD,159,71.5,36,79.3,198,73.5
63,CRAWFORD ROBERTS,189,75.3,10,70,202,74.8
64,HOMEWOOD SOUTH,196,76.9,4,,204,76.5
65,PERRY NORTH,56,63.5,144,79.5,205,74.6
66,HIGHLAND PARK,49,68.7,159,83.2,213,79.2
67,LINCOLN PLACE,3,,212,80.3,217,79.8
68,SOUTHSIDE SLOPES,9,58.7,208,77.9,220,77.2
69,SQUIRREL HILL NORTH,6,75,231,85.3,242,85
70,SHERADEN,62,62.2,180,76.8,248,72
71,MARSHALL-SHADELAND,55,60,191,73.2,252,70
72,BANKSVILLE,4,,247,85.5,253,85.5
73,PERRY SOUTH,147,71.6,105,83.3,259,76.4
74,HAZELWOOD,74,68.2,184,74.2,261,72.2
75,SOUTHSIDE FLATS,11,74,265,78.8,277,78.4
76,STANTON HEIGHTS,112,75.6,165,84,278,80.5
77,NORTH OAKLAND,45,70.9,227,86.8,279,85.6
78,OVERBROOK,4,,284,82.5,289,82.2
79,GREENFIELD,8,65,325,79.6,337,79.2
80,CENTRAL LAWRENCEVILLE,18,75,338,81.7,358,81.3
81,EAST LIBERTY,259,71.8,91,78.4,364,73
82,LINCOLN-LEMINGTON-BELMAR,287,76.7,98,84.7,389,78.8
83,BLOOMFIELD,25,68,362,78.9,394,78.2
84,SHADYSIDE,72,81.2,320,82.4,406,82.1
85,BEECHVIEW,35,55.8,398,80.2,434,78.9
86,MOUNT WASHINGTON,35,68.1,433,77,476,76.3
87,BRIGHTON HEIGHTS,56,63.7,432,80.3,496,78.9
88,CARRICK,35,59.4,622,77,678,75.9
89,BROOKLINE,13,61.2,723,78.1,750,77.8
90,SQUIRREL HILL SOUTH,58,83.2,721,86.2,802,85.9
91,,,,,,,
92,*Total includes Other and Unknown race.,,,,,,
